lamb_uid,season_year,season_label,lamb_tag,sex,birth_dam_tag,birth_dam_uid,rearing_dam_tag,rearing_dam_uid,was_fostered,lambing_uid,born_at_utc,born_at_local,born_local_date,local_date_disagrees,time_source,time_provenance,time_captured_at_utc,time_original_effective_utc,declared_birth_type,lambs_recorded_for_lambing,birth_type_mismatch,lambing_ease,assisted_by,presentation_key,presentation_label,birth_weight_g,birth_weight_kg,status,death_date,death_cause_key,death_cause_label,pet_lamb,bottle_feeds,notes,struck,struck_at
019524f7-8a1c-7b3e-9f04-2c9a1e7d55b0,2026,Spring 2026,4121,f,412,019523ab-2f81-7c04-9a13-6de0b1c48e92,412,019523ab-2f81-7c04-9a13-6de0b1c48e92,0,019524f6-1a02-7c11-8e77-3ab0c4d19e21,2026-03-14T03:20:42.015Z,14/03/2026 03:20,2026-03-14,0,auto,recorded automatically,2026-03-14T03:20:42.015Z,,3,3,0,2,Dai,mp_normal,normal,4100,4.10,alive,,,,0,0,,0,
019524f7-8a1c-7b3e-9f04-2c9a1e7d55b1,2026,Spring 2026,4122,m,412,019523ab-2f81-7c04-9a13-6de0b1c48e92,305,019523ab-2f81-7c04-9a13-6de0b1c48e93,1,019524f6-1a02-7c11-8e77-3ab0c4d19e21,2026-03-13T23:55:10.004Z,13/03/2026 23:55,2026-03-14,1,edited,time edited by you,2026-03-14T00:12:03.771Z,2026-03-14T00:12:00.000Z,3,3,0,4,"Dai; vet",mp_leg_back,one leg back,3850,3.85,alive,,,,0,0,"Big lamb, she ""kicked"" hard.
Moved to pen 4.",0,
019524f7-8a1c-7b3e-9f04-2c9a1e7d55b2,2026,Spring 2026,,,412,019523ab-2f81-7c04-9a13-6de0b1c48e92,,,0,019524f6-1a02-7c11-8e77-3ab0c4d19e21,2026-03-14T03:31:55.120Z,14/03/2026 03:31,2026-03-14,0,auto,recorded automatically,2026-03-14T03:31:55.120Z,,3,3,0,4,Dai,mp_leg_back,one leg back,,,stillborn,2026-03-14,,,0,0,"'-2 lambs out before I got there, no vet",0,
019524f7-8a1c-7b3e-9f04-2c9a1e7d55b3,2026,Spring 2026,3881,unknown,388,019523ab-2f81-7c04-9a13-6de0b1c48e94,,,0,019524f6-1a02-7c11-8e77-3ab0c4d19e22,2026-03-15T05:02:11.000Z,15/03/2026 05:02,2026-03-15,0,entered,time entered by you,2026-03-15T05:44:19.310Z,,2,1,1,,,mp_normal,normal,3200,3.20,alive,,,,1,14," watched her all night ",0,
019524f7-8a1c-7b3e-9f04-2c9a1e7d55b4,2026,Spring 2026,4123,m,412,019523ab-2f81-7c04-9a13-6de0b1c48e92,,,0,019524f6-1a02-7c11-8e77-3ab0c4d19e21,2026-03-14T03:39:02.400Z,14/03/2026 03:39,2026-03-14,0,auto,recorded automatically,2026-03-14T03:39:02.400Z,,3,3,0,2,Dai,mp_normal,normal,,,alive,,,,0,0,entered twice,1,2026-03-14T03:41:07.900Z
"# Shed Book is a personal notebook. It is not a statutory medicine record, holding register, or movement record, and must not be presented as one. All entries are as recorded by the user.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Struck entries are included and marked struck. Nothing has been removed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Withdrawal period as entered by you from the product label. Shed Book does not know any product and suggests no value. Check the label.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Times are exported in UTC. Each event carries its source: recorded automatically · time entered by you · time edited by you.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Local times in this file were rendered in GMT (UTC+00:00) at export. The UTC columns are exact.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Fields beginning = + - @ a tab or a carriage return are prefixed with ' in this file so a spreadsheet does not evaluate them. The stored record is unchanged.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Shed Book 1.2.0+41.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
